"artist_name","track_name","release_date","genre","lyrics"
"BTS","Dynamite","2020","K-Pop","'Cause I, I, I'm in the stars tonight So watch me bring the fire and set the night alight Shoes on, get up in the morn' Cup of milk, let's rock and roll King Kong, kick the drum Rolling on like a Rolling Stone Sing-song when I'm walkin' home Jump up to the top, LeBron Ding-dong, call me on my phone Ice tea and a game of ping pong This is gettin' heavy, can you hear the bass boom? I'm ready (Woo-hoo) Life is sweet as honey, yeah, this beat cha-ching like money, huh Disco overload, I'm into that, I'm good to go I'm diamond, you know I glow up Hey, so let's go 'Cause I, I, I'm in the stars tonight So watch me bring the fire and set the night alight (Hey) Shinin' through the city with a little funk and soul So I'ma light it up like dynamite, woah-oh-oh Bring a friend, join the crowd, whoever wanna come along Word up, talk the talk, just move like we off the wall Day or night, the sky's alight, so we dance to the break of dawn (Hey) Ladies and gentlemen, I got the medicine, so you should keep ya eyes on the ball (Huh) This is gettin' heavy, can you hear the bass boom? I'm ready (Woo-hoo) Life is sweet as honey, yeah, this beat cha-ching like money, huh Disco overload, I'm into that, I'm good to go I'm diamond, you know I glow up Let's go 'Cause I, I, I'm in the stars tonight So watch me bring the fire and set the night alight (Hey) Shinin' through the city with a little funk and soul So I'ma light it up like dynamite, woah-oh-oh Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite Shinin' through the city with a little funk and soul So I'ma light it up like dynamite, woah-oh-oh Dyn-na-na-na, na-na, na-na, ayy Dyn-na-na-na, na-na, na-na, ayy Dyn-na-na-na, na-na, na-na, ayy Light it up like dynamite Dyn-na-na-na, na-na, na-na, ayy Dyn-na-na-na, na-na, na-na, ayy Dyn-na-na-na, na-na, na-na, ayy Light it up like dynamite 'Cause I, I, I'm in the stars tonight So watch me bring the fire and set the night alight Shinin' through the city with a little funk and soul So I'ma light it up like dynamite (This is ah) 'Cause I, I, I'm in the stars tonight So watch me bring the fire and set the night alight (Alight, oh) Shinin' through the city with a little funk and soul So I'ma light (Light) it (It) up (Up) like (Like) dynamite (Dynamite), woah-oh-oh Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Life is dynamite) Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Oh) Shinin' through the city with a little funk and soul So I'ma light it up like dynamite, woah-oh-oh"
"BTS","Butter","2021","K-Pop","Smooth like butter Like a criminal undercover Gon' pop like trouble Breakin' into your heart like that (Ooh) Cool shade stunner Yeah, I owe it all to my mother Hot like summer Yeah, I'm makin' you sweat like that Break it down Ooh, when I look in the mirror I'll melt your heart into two I got that superstar glow so (Ooh) Do the boogie like Side step, right, left to my beat High like the moon, rock with me, baby Know that I got that heat Let me show you 'cause talk is cheap Side step, right, left to my beat Get it, let it roll Smooth like butter Pull you in like no other Don't need no Usher To remind me you got it bad Ain't no other That can sweep you up like a robber Straight up, I got ya Makin' you fall like that Break it down Ooh, when I look in the mirror I'll melt your heart into two I got that superstar glow so (Ooh) Do the boogie like Side step, right, left to my beat High like the moon, rock with me, baby Know that I got that heat Let me show you 'cause talk is cheap Side step, right, left to my beat Get it, let it roll Get it, let it roll Get it, let it roll Ice on my wrist, I'm the nice guy Got the right body and the right mind Rollin' up to party, got the right vibe Smooth like (Butter), hate us (Love us) Fresh boy pull up and we lay low All the playas get movin' when the bass low Got ARMY right behind us when we say so Let's go Side step, right, left to my beat (Right, left to my beat) High like the moon, rock with me, baby Know that I got that heat Let me show you 'cause talk is cheap (You know that talk is cheap) Side step, right, left to my beat Get it, let it roll Smooth like (Butter), cool shade (Stunner) And you know we don't stop Hot like (Summer), ain't no (Bummer) You be like, oh my god We gon' make you rock and you say (Yeah) We gon' make you bounce and you say (Yeah) Hotter? Sweeter! Cooler? Butter! Get it, let it roll"
"BTS","FAKE LOVE","2018","K-Pop","널 위해서라면 난 슬퍼도 기쁜 척 할 수가 있었어 널 위해서라면 난 아파도 강한 척 할 수가 있었어 사랑이 사랑만으로 완벽하길 내 모든 약점들은 다 숨겨지길 이뤄지지 않는 꿈속에서 피울 수 없는 꽃을 키웠어 I'm so sick of this fake love, fake love, fake love I'm so sorry but it's fake love, fake love, fake love I wanna be a good man just for you 세상을 줬네 just for you 전부 바꿨어 just for you Now I don't know me, who are you? 우리만의 숲 너는 없었어 내가 왔던 route 잊어버렸어 나도 내가 누구였는지도 잘 모르게 됐어 거울에다 지껄여봐 너는 대체 누구니 널 위해서라면 난 슬퍼도 기쁜 척 할 수가 있었어 널 위해서라면 난 아파도 강한 척 할 수가 있었어 사랑이 사랑만으로 완벽하길 내 모든 약점들은 다 숨겨지길 이뤄지지 않는 꿈속에서 피울 수 없는 꽃을 키웠어 Love you so bad, love you so bad 널 위해 예쁜 거짓을 빚어내 Love it's so mad, love it's so mad 날 지워 너의 인형이 되려 해 Love you so bad, love you so bad 널 위해 예쁜 거짓을 빚어내 Love it's so mad, love it's so mad 날 지워 너의 인형이 되려 해 I'm so sick of this fake love, fake love, fake love I'm so sorry but it's fake love, fake love, fake love Why you sad? I don't know 난 몰라 웃어봐 사랑해 말해봐 나를 봐 나조차도 버린 나 너조차 이해할 수 없는 나 낯설다 하네 니가 좋아하던 나로 변한 내가 아니라 하네 예전에 니가 잘 알고 있던 내가 아니긴 뭐가 아냐 난 눈 멀었어 사랑은 뭐가 사랑 it's all fake love (Woo) I don't know, I don't know, I don't know why (Woo) 나도 날 나도 날 모르겠어 (Woo) I just know, I just know, I just know why 'Cause it's all fake love, fake love, fake love Love you so bad, love you so bad 널 위해 예쁜 거짓을 빚어내 Love it's so mad, love it's so mad 날 지워 너의 인형이 되려 해 Love you so bad, love you so bad 널 위해 예쁜 거짓을 빚어내 Love it's so mad, love it's so mad 날 지워 너의 인형이 되려 해 I'm so sick of this fake love, fake love, fake love I'm so sorry but it's fake love, fake love, fake love 널 위해서라면 난 슬퍼도 기쁜 척 할 수가 있었어 널 위해서라면 난 아파도 강한 척 할 수가 있었어 사랑이 사랑만으로 완벽하길 내 모든 약점들은 다 숨겨지길 이뤄지지 않는 꿈속에서 피울 수 없는 꽃을 키웠어"
"BTS","Permission to Dance","2021","K-Pop","It's the thought of being young When your heart's just like a drum Beating louder with no way to guard it When it all seems like it's wrong Just sing along to Elton John And to that feeling, we're just getting started When the nights get colder And the rhythms got you falling behind Just dream about that moment When you look yourself right in the eye, eye, eye Then you say I wanna dance The music's got me going Ain't nothing that can stop how we move, yeah Let's break our plans And live just like we're golden And roll in like we're dancing fools We don't need to worry 'Cause when we fall, we know how to land Don't need to talk the talk, just walk the walk tonight 'Cause we don't need permission to dance There's always something that's standing in the way But if you don't let it faze ya You'll know just how to break Just keep the right vibe, yeah 'Cause there's no looking back There ain't no one to prove We don't got this on lock (Yeah) The wait is over The time is now so let's do it right, mm (Yeah) Yeah, we'll keep going And stay up until we see the sunri-i-ise (Yeah) And we'll say I wanna dance The music's got me going Ain't nothing that can stop how we move, yeah Let's break our plans And live just like we're golden And roll in like we're dancing fools We don't need to worry 'Cause when we fall, we know how to land Don't need to talk the talk, just walk the walk tonight 'Cause we don't need permission to dance Da-na-na-na-na-na-na Da-na-na-na-na-na-na Da-na-na-na-na-na-na No, we don't need permission to dance Da-na-na-na-na-na-na (Hey) Da-na-na-na-na-na-na Da-na-na-na-na-na-na Well, let me show ya That we can keep the fire alive, mm 'Cause it's not over 'Til it's over, say it one more time Say I wanna dance The music's got me going (Music's got me going) Ain't nothing that can stop how we move, yeah (Hey, yeah) Let's break our plans And live just like we're golden (Ooh) And roll in like we're dancing fools (Like we're dancing fools) We don't need to worry 'Cause when we fall, we know how to land (We know how to land) Don't need to talk the talk, just walk the walk tonight (Ooh) 'Cause we don't need permission to dance"
"BTS","봄날 (Spring Day)","2017","K-Pop","보고 싶다 이렇게 말하니까 더 보고 싶다 너희 사진을 보고 있어도 보고 싶다 너무 야속한 시간, 나는 우리가 밉다 이젠 얼굴 한 번 보는 것 조차, 힘들어진 우리가 여긴 온통 겨울 뿐이야, 8월에도 겨울이 와 마음은 시간을 달려가네, 홀로 남은 설국열차 니 손 잡고 지구 반대편까지 가, 겨울을 끝내고파 그리움들이 얼마나 눈처럼 내려야, 그 봄날이 올까, friend 허공을 떠도는 작은 먼지처럼, 작은 먼지처럼 날리는 눈이 나라면 조금 더 빨리 네게 닿을 수 있을 텐데 눈꽃이 떨어져요 또 조금씩 멀어져요 보고 싶다 (보고 싶다) 보고 싶다 (보고 싶다) 얼마나 기다려야 또 몇 밤을 더 새워야 널 보게 될까 (널 보게 될까) 만나게 될까 (만나게 될까, ooh-ooh-ooh) 추운 겨울 끝을 지나 다시 봄날이 올 때까지 꽃 피울 때까지 그곳에 좀 더 머물러줘, 머물러줘 니가 변한 건지 (니가 변한 건지) 아니면 내가 변한 건지 (아니면 내가 변한 건지) 이 순간 흐르는 시간조차 미워 우리가 변한, 거지 뭐? 모두가 그런, 거지 뭐? 그래 밉다 니가, 넌 떠났지만 단 하루도 너를, 잊은 적이 없었지 난 솔직히, 보고 싶은데, 이만 너를 지울게 그게 널 원망하기보단 덜 아프니까 시린 널 불어내 본다 연기처럼, 하얀 연기처럼 말로는 지운다 해도 사실 난 아직 널 보내지 못하는데 눈꽃이 떨어져요 또 조금씩 멀어져요 보고 싶다 (보고 싶다) 보고 싶다 (보고 싶다) 얼마나 기다려야 또 몇 밤을 더 새워야 널 보게 될까 (널 보게 될까) 만나게 될까 (만나게 될까, ah-ah-ah-ah, ah) You know it all, you're my best friend 아침은 다시 올 거야 어떤 어둠도 어떤 계절도 영원할 순 없으니까 벚꽃이 피나봐요 이 겨울도 끝이 나요 보고 싶다 (보고 싶다, ah) 보고 싶다 (보고 싶다, ah-ah-ah) 조금만 기다리면 (기다리면) 며칠 밤만 더 새우면 만나러 갈게 (만나러 갈게) 데리러 갈게 ""데리러 갈게, yeah, eh-eh, yeah, yeah"" 추운 겨울 끝을 지나 다시 봄날이 올 때까지 꽃 피울 때까지 그곳에 좀 더 머물러줘, 머물러줘"
"BTS","Euphoria","2018","K-Pop","너는 내 삶에 다시 뜬 햇빛 어린 시절 내 꿈들의 재림 모르겠어 이 감정이 뭔지 혹시 여기도 꿈속인 건지 꿈은 사막의 푸른 신기루 내 안 깊은 곳의 a priori 숨이 막힐 듯이 행복해져 주변이 점점 더 투명해져 저기 멀리서 바다가 들려 꿈을 건너서 수풀 너머로 선명해지는 그 곳으로 가 Take my hands now You are the cause of my euphoria Euphoria Take my hands now You are the cause of my euphoria Oh yeah, yeah, yeah, yeah, yeah, yeah (Oh) Oh yeah, yeah, yeah, yeah, yeah, yeah (Euphoria) Oh yeah, yeah, yeah, yeah, yeah, yeah Close the door now When I'm with you, I'm in utopia 무지개처럼 지워진 꿈을 찾아 헤맸을까 운명 같은 흔한 말관 달라 아픈 너의 눈빛이 나와 같은 곳을 보는 걸 Won't you please stay in dreams, yeah? 저기 멀리서 바다가 들려 꿈을 건너서 수풀 너머로 선명해지는 그곳으로 가 Take my hands now You are the cause of my euphoria Oh, yeah, yeah, yeah, yeah, yeah, yeah Euphoria Take my hands now You are the cause of my euphoria 모래 바닥이 갈라진대도 그 누가 이 세겔 흔들어도 잡은 손 절대 놓지 말아 줘 제발 꿈에서 깨어나지 마 저기 멀리서 바다가 들려 꿈을 건너서 수풀 너머로 (제발 꿈에서 깨어나지 마) 선명해지는 그곳으로 가 Take my hands now You are the cause of my euphoria Yeah, yeah, yeah, yeah Euphoria (Euphoria, oh) Take my hands now You are the cause of my euphoria Oh yeah, yeah, yeah, yeah, yeah, yeah (Yeah, yeah, yeah, yeah) Oh yeah, yeah, yeah, yeah, yeah, yeah (Oh, euphoria) Oh yeah, yeah, yeah, yeah, yeah, yeah Close the door now When I'm with you, I'm in utopia"
"BTS","전하지 못한 진심 (The Truth Untold)","2018","K-Pop","외로움이 가득히 피어있는 이 garden 가시투성이 이 모래성에 난 날 매었어 너의 이름은 뭔지 갈 곳이 있긴 한지 Oh could you tell me? 이 정원에 숨어든 널 봤어 And I know 너의 온긴 모두 다 진짜란 걸 푸른 꽃을 꺾는 손 잡고 싶지만 내 운명인 걸 Don't smile to me Light on me 너에게 다가설 수 없으니까 내겐 불러줄 이름이 없어 You know that I can't Show you me Give you me 초라한 모습 보여줄 순 없어 또 가면을 쓰고 널 만나러 가 But I still want you 외로움의 정원에 핀 너를 닮은 꽃 주고 싶었지 바보 같은 가면을 벗고서 But I know 영원히 그럴 수는 없는 걸 숨어야만 하는 걸 추한 나니까 난 두려운 걸 초라해 I'm so afraid 결국엔 너도 날 또 떠나버릴까 또 가면을 쓰고 널 만나러 가 할 수 있는 건 정원에 이 세상에 예쁜 너를 닮은 꽃을 피운 다음 니가 아는 나로 숨쉬는 것 But I still want you Ooh, ooh I still want you Ooh 어쩌면 그때 조금만 이만큼만 용길 내서 너의 앞에 섰더라면 지금 모든 건 달라졌을까 난 울고 있어 사라진 무너진 홀로 남겨진 이 모래성에서 부서진 가면을 바라보면서 And I still want you But I still want you But I still want you And I still want you"
"BTS","DNA","2017","K-Pop","첫눈에 널 알아보게 됐어 (Hmm-mm) 서롤 불러왔던 것처럼 (Ooh, ooh-ooh-ooh-ooh) 내 혈관 속 DNA가 말해줘 (Hmm-mm) 내가 찾아 헤매던 너라는 걸 (Ooh, ooh-ooh-ooh-ooh) 우리 만남은 (만남은) 수학의 공식 (수학의 공식) 종교의 율법 (율법) 우주의 섭리 (우주의 섭리) 내게 주어진 운명의 증거 (처) 너는 내 꿈의 출처 (처) Take it, take it 너에게 내민 내 손은 정해진 숙명 걱정하지 마, love 이 모든 건 우연이 아니니까 우린 완전 달라, baby 운명을 찾아낸 둘이니까 우주가 생긴 그 날부터 계속 (계속) 무한의 세기를 넘어서 계속 (계속, 계속, yah) 우린 전생에도 (우린 전생에도) 아마 다음 생에도 (아마 다음 생에도) 영원히 함께니까 (DNA) 이 모든 건 우연이 아니니까 (DNA) 운명을 찾아낸 둘이니까, DNA I want it, this love (This love) I-I want it, real love (Real love) 난 너에게만 집중해, 좀 더 세게 날 이끄네 태초의 DNA (DNA) 가 널 원하는데 (하는데) 이건 필연이야 I love us (Love us) 우리만이 true lovers (Lovers) 그녀를 볼 때마다 소스라치게 놀라 신기하게 자꾸만 숨이 멎는 게 참 이상해 설마 이런 게 말로만 듣던 사랑이란 감정일까 (Oh, yeah) 애초부터 내 심장은 널 향해 뛰니까 걱정하지 마, love 이 모든 건 우연이 아니니까 우린 완전 달라, baby 운명을 찾아낸 둘이니까 우주가 생긴 그 날부터 계속 (계속) 무한의 세기를 넘어서 계속 (계속, 계속, yah) 우린 전생에도 (우린 전생에도) 아마 다음 생에도 (아마 다음 생에도) 영원히 함께니까 (DNA) 이 모든 건 우연이 아니니까 (DNA) 운명을 찾아낸 둘이니까, DNA 돌아보지 말아 운명을 찾아낸 우리니까 후회하지 말아, baby 영원히, 영원히, 영원히 영원히 (영원히) 함께니까 걱정하지 마, love (Oh-oh-oh) 이 모든 건 우연이 아니니까 우린 완전 달라, baby 운명을 찾아낸 둘이니까, DNA La-la-la-la-la, la-la-la-la-la 우연이 아니니까, DNA La-la-la-la-la, la-la-la-la-la 우연이 아니니까, DNA"
"BTS","Intro: Serendipity (세렌디피티)","2017","K-Pop","이 모든 건 우연이 아냐 그냥 그냥 나의 느낌으로 온 세상이 어제완 달라 그냥 그냥 너의 기쁨으로 니가 날 불렀을 때 나는 너의 꽃으로 기다렸던 것처럼 우린 시리도록 피어 어쩌면 우주의 섭리 그냥 그랬던 거야 You know, I know 너는 나, 나는 너 설레는 만큼 많이 두려워 운명이 우릴 자꾸 질투해서 너만큼 나도 많이 무서워 When you see me, when you touch me 우주가 우릴 위해 움직였어 조금의 어긋남조차 없었어 너와 내 행복은 예정됐던 걸 'Cause you love me and I love you 넌 내 푸른 곰팡이 날 구원해 준 나의 천사 나의 세상 난 네 삼색 고양이 널 만나러 온 Love me now, touch me now Just let me love you (Let me, love, let me love you) Just let me love you (Let me, love, let me love you) 우주가 처음 생겨났을 때부터 모든 건 정해진 거였어 Just let me love you (Let me, love, let me love you) Let me love, let me love you (Mmm) Let me love, let me love you"
"BTS","피 땀 눈물 (Blood Sweat & Tears)","2016","K-Pop","내 피, 땀, 눈물, 내 마지막 춤을 다 가져가, 가 내 피, 땀, 눈물, 내 차가운 숨을 다 가져가, 가 내 피, 땀, 눈물 내 피, 땀, 눈물도 내 몸, 마음, 영혼도 너의 것인 걸 잘 알고 있어 이건 나를 벌받게 할 주문 Peaches and cream, sweeter than sweet Chocolate cheeks and chocolate wings But 너의 날개는 악마의 것 너의 그 sweet 앞엔 bitter, bitter Kiss me, 아파도 돼, 어서 날 조여줘 더 이상 아플 수도 없게 Baby, 취해도 돼, 이제 널 들이켜 목 깊숙이 너란 위스키 내 피, 땀, 눈물, 내 마지막 춤을 다 가져가, 가 내 피, 땀, 눈물, 내 차가운 숨을 다 가져가, 가 원해 많이, 많이 많이, 많이 원해 많이, 많이 많이, 많이, 많이, 많이 원해 많이, 많이 많이, 많이 원해 많이, 많이 많이, 많이, 많이, 많이 아파도 돼, 날 묶어줘, 내가 도망칠 수 없게 (쉿) 꽉 쥐고 날 흔들어줘, 내가 정신 못 차리게 Kiss me on the lips, lips, 둘만의 비밀 너란 감옥에 중독돼 깊이 네가 아닌 다른 사람 섬기지 못해 알면서도 삼켜버린 독이 든 성배 내 피, 땀, 눈물, 내 마지막 춤을 다 가져가, 가 내 피, 땀, 눈물, 내 차가운 숨을 다 가져가, 가 원해 많이, 많이 많이, 많이 원해 많이, 많이 많이, 많이, 많이, 많이 원해 많이, 많이 많이, 많이 원해 많이, 많이 많이, 많이, 많이, 많이 나를 부드럽게 죽여줘 너의 손길로 눈 감겨줘 어차피 거부할 수조차 없어 더는 도망갈 수조차 없어 네가 너무 달콤해, 너무 달콤해 너무 달콤해서 He too was a tempter; he, too, was a link to the second, the evil world with which I no longer wanted to have anything to do 내 피, 땀, 눈물 내 피, 땀, 눈물"
